station,chla_surf,diss_o_surf,ph_surf,salinity_surf,turbidity_surf,temp_surf,suspended_solids_surf,nitrates_surf,chla_bott,diss_o_bott,ph_bott,salinity_bott,turbidity_bott,temp_bott,suspended_solids_bott,nitrates_bott,temp_delta,latitude,longitude,depth_m
EM1,2.204195804195804,6.283216783216783,8.021678321678321,32.406993006993005,5.3545454545454545,20.446853146853147,3.6545454545454548,0.24909090909090909,1.9335664335664335,6.600699300699301,8.03986013986014,32.53706293706294,6.829370629370629,20.31958041958042,5.955944055944056,0.18657342657342657,-0.12727272727272745,22.2751,114.2555833,16
EM2,2.2552447552447554,6.546153846153846,8.033566433566433,32.46083916083916,4.867832167832168,20.39090909090909,3.334965034965035,0.17643356643356645,1.8552447552447553,6.851048951048951,8.06013986013986,32.5993006993007,7.506993006993007,20.30909090909091,5.146153846153846,0.14482517482517482,-0.08181818181818178,22.2622,114.2661833,21
EM3,1.9125925925925924,6.871111111111111,8.054814814814815,32.51481481481481,5.705185185185186,20.35333333333333,3.8659259259259255,0.12518518518518518,1.5896296296296295,7.0962962962962965,8.068888888888889,32.636296296296294,7.833333333333333,20.29407407407407,5.984444444444445,0.11037037037037037,-0.05925925925925931,22.23728333,114.2690667,21
ET1,2.9523809523809526,5.890476190476191,7.857142857142857,31.98095238095238,4.70952380952381,21.695238095238096,3.5857142857142854,0.19285714285714284,2.9714285714285715,6.29047619047619,7.871428571428572,32.285714285714285,4.9523809523809526,21.728571428571428,4.585714285714285,0.17047619047619048,0.03333333333333364,22.27005,114.2437333,6
ET2,1.1761904761904762,5.514285714285714,7.733333333333333,32.06666666666666,4.4904761904761905,21.79047619047619,2.6809523809523808,0.24047619047619045,1.3238095238095238,6.1,7.7714285714285705,32.476190476190474,4.485714285714286,21.83809523809524,3.1761904761904765,0.20285714285714285,0.047619047619047956,22.28463333,114.2297167,12
MM1,6.402777777777778,7.1685185185185185,8.075925925925926,32.04907407407408,6.128703703703703,20.314814814814813,4.492592592592593,0.16092592592592592,4.6000000000000005,7.173148148148148,8.061111111111112,32.28333333333333,7.798148148148148,20.057407407407407,6.816666666666667,0.13018518518518518,-0.25740740740740753,22.54973333,114.23785,6
MM13,1.4326923076923077,6.851923076923077,8.04326923076923,32.698076923076925,5.7778846153846155,20.127884615384616,3.6875,0.10115384615384615,1.1201923076923077,6.9788461538461535,8.052884615384615,33.07692307692308,10.689423076923077,20.025961538461537,7.4057692307692315,0.08826923076923077,-0.1019230769230771,22.21666667,114.4486667,28
MM14,1.7438775510204083,6.838775510204082,8.034693877551021,32.59183673469388,6.710204081632654,20.099999999999998,3.8153061224489795,0.1,1.2010204081632654,7.01530612244898,8.039795918367346,32.92551020408163,8.739795918367347,20.006122448979593,6.544897959183674,0.09295918367346938,-0.09387755102040814,22.29266667,114.4486667,25
MM15,1.5435643564356436,6.808910891089109,8.026732673267325,32.54455445544554,5.633663366336633,20.023762376237624,3.303960396039604,0.09554455445544555,1.3237623762376236,7.087128712871286,8.023762376237624,32.838613861386136,7.955445544554456,19.861386138613863,6.302970297029703,0.09158415841584158,-0.16237623762376216,22.36866667,114.4486667,24
MM16,2.1215686274509804,7.009803921568627,7.9941176470588236,32.522549019607844,5.345098039215687,20.028431372549022,2.93921568627451,0.08225490196078432,1.6490196078431372,7.109803921568628,8.010784313725491,32.72549019607843,7.697058823529412,19.770588235294117,5.803921568627451,0.08225490196078432,-0.25784313725490227,22.4445,114.4486667,22
MM17,2.1438709677419356,7.34516129032258,8.123225806451613,32.40774193548387,3.7045161290322586,19.460645161290323,2.604516129032258,0.056451612903225805,1.8135483870967744,7.415483870967742,8.118064516129031,32.56258064516129,5.5438709677419356,19.31225806451613,3.554838709677419,0.05974193548387097,-0.14838709677419348,22.5032,114.3493333,17
MM19,1.6329411764705883,6.829411764705882,8.021176470588236,32.631764705882354,5.295294117647059,20.05764705882353,2.8741176470588234,0.10058823529411766,1.2670588235294118,7.025882352941177,8.021176470588236,32.8564705882353,7.595294117647059,19.77176470588235,5.9541176470588235,0.09658823529411766,-0.28588235294117625,22.26535,114.3235167,28
MM2,3.4416666666666664,7.145370370370371,8.092592592592593,32.36851851851852,5.4907407407407405,20.298148148148147,3.071296296296296,0.06824074074074074,2.6675925925925927,7.323148148148148,8.070370370370371,32.492592592592594,5.3657407407407405,19.90648148148148,4.659259259259259,0.07037037037037037,-0.3916666666666668,22.54376667,114.2774667,11
MM3,2.3436363636363637,7.048181818181818,8.083636363636364,32.46727272727273,4.6454545454545455,20.093636363636364,3.0854545454545454,0.060454545454545455,2.0872727272727274,7.420909090909091,8.074545454545454,32.58,5.8536363636363635,19.814545454545453,6.025454545454545,0.06218181818181818,-0.2790909090909091,22.5619,114.31025,16
MM4,2.2192660550458716,7.031192660550459,8.070642201834863,32.518348623853214,5.2678899082568815,19.973394495412844,3.3587155963302755,0.06220183486238532,2.322935779816514,7.277981651376146,8.06605504587156,32.64128440366972,7.3275229357798155,19.75229357798165,5.51743119266055,0.06706422018348625,-0.22110091743119265,22.56361667,114.35805,18
MM5,1.9712962962962963,7.091666666666667,8.060185185185185,32.50555555555555,5.2592592592592595,19.923148148148147,2.9555555555555553,0.0637962962962963,2.0185185185185186,7.186111111111111,8.04814814814815,32.675000000000004,8.070370370370371,19.74537037037037,5.612037037037037,0.06888888888888889,-0.17777777777777773,22.52055,114.3938833,20
MM6,2.362037037037037,7.019444444444445,7.984259259259259,32.49444444444445,4.506481481481481,19.74814814814815,2.843518518518519,0.056296296296296296,2.1231481481481485,7.375,8.012962962962963,32.51111111111111,7.078703703703703,19.59537037037037,3.815740740740741,0.05722222222222223,-0.15277777777777785,22.45556667,114.34995,12
MM7,2.785454545454545,6.88,8.090909090909092,32.42818181818182,5.62909090909091,20.19,2.808181818181818,0.05472727272727273,2.5254545454545454,7.199090909090909,8.07,32.54818181818182,5.470909090909092,19.867272727272727,3.659090909090909,0.05881818181818182,-0.32272727272727286,22.52348333,114.2970667,13
MM8,1.4280373831775701,6.856074766355141,8.039252336448598,32.53551401869159,5.71588785046729,20.08411214953271,3.202803738317757,0.10336448598130842,1.157943925233645,6.991588785046729,8.057943925233646,32.899065420560746,8.918691588785046,19.93551401869159,6.74392523364486,0.09345794392523364,-0.14859813084112128,22.20035,114.3224167,31
PM1,3.389473684210526,7.009022556390978,8.109774436090225,32.48796992481203,4.106015037593985,19.96842105263158,2.9398496240601504,0.06353383458646616,2.7466165413533834,7.283458646616542,8.112781954887218,32.554135338345866,4.309774436090226,19.793233082706767,3.181954887218045,0.06195488721804512,-0.17518796992481186,22.38736667,114.28575,6
PM11,1.9863247863247864,6.9282051282051285,8.064957264957265,32.52307692307692,5.811965811965812,20.016239316239318,2.5683760683760686,0.08547008547008547,1.7444444444444445,7.1239316239316235,8.058974358974359,32.66923076923077,5.586324786324787,19.944444444444443,3.594017094017094,0.08871794871794872,-0.07179487179487176,22.32066667,114.33605,21
PM2,2.9288732394366197,6.902112676056338,8.091549295774648,32.42183098591549,3.9838028169014086,19.948591549295774,2.704929577464789,0.07246478873239437,2.6063380281690143,7.153521126760563,8.096478873239437,32.56056338028169,4.154225352112676,19.781690140845072,3.7119718309859158,0.0682394366197183,-0.1669014084507041,22.37738333,114.2781167,8
PM3,2.899270072992701,7.041605839416059,8.11094890510949,32.52408759124088,3.8284671532846715,19.887591240875913,2.5635036496350363,0.0681021897810219,2.2072992700729923,7.132846715328467,8.091240875912408,32.61167883211679,4.62043795620438,19.689051094890512,3.586131386861314,0.07211678832116789,-0.19854014598540154,22.36926667,114.2818333,13
PM4,2.6132867132867132,6.978321678321678,8.108391608391608,32.51958041958042,4.403496503496504,19.744055944055944,3.2531468531468533,0.05951048951048951,2.5531468531468535,7.194405594405594,8.111888111888112,32.58601398601399,4.3783216783216785,19.577622377622376,3.874125874125874,0.05951048951048951,-0.16643356643356635,22.38233333,114.31365,6
PM6,3.9904411764705885,6.911764705882353,8.038970588235294,32.307352941176475,4.444117647058824,19.970588235294116,3.159558823529412,0.0763235294117647,2.513235294117647,7.046323529411764,8.045588235294119,32.53823529411765,5.018382352941177,19.858088235294115,3.6338235294117647,0.07477941176470589,-0.11250000000000002,22.3517,114.2702167,11
PM7,2.1305555555555555,7.134722222222223,8.07986111111111,32.46458333333333,3.769444444444444,19.805555555555557,2.788888888888889,0.07055555555555555,1.870138888888889,7.173611111111111,8.07986111111111,32.64375,4.411111111111111,19.709722222222222,3.4743055555555555,0.07479166666666666,-0.09583333333333331,22.34088333,114.29505,17
PM8,1.8985915492957748,7.17112676056338,8.098591549295774,32.45211267605634,4.0260563380281695,19.77887323943662,2.843661971830986,0.0771830985915493,1.4246478873239437,7.2521126760563375,8.102112676056338,32.686619718309856,5.324647887323944,19.692253521126762,3.8309859154929575,0.08021126760563381,-0.08661971830985896,22.31946667,114.3124167,20
PM9,2.156428571428571,7.039285714285715,8.105,32.47428571428571,4.305000000000001,19.725,2.7114285714285717,0.07657142857142858,1.9021428571428571,7.301428571428572,8.108571428571429,32.615,4.4957142857142856,19.547142857142855,4.322857142857143,0.08092857142857143,-0.1778571428571428,22.34215,114.3366,15
PT2,2.075,7.074999999999999,7.95,32.5,2.075,18.225,2.1,0.1175,3.475,7.4,7.95,32.6,2.15,18.175,2.1750000000000003,0.11,-0.04999999999999982,22.37996667,114.2756667,3
PT3,2.4476190476190474,6.442857142857143,7.909523809523809,32.43333333333334,3.661904761904762,21.242857142857144,4.2,0.0761904761904762,2.2714285714285714,7.042857142857143,7.904761904761905,32.55714285714286,3.9428571428571426,21.2,4.966666666666667,0.0719047619047619,-0.04285714285714279,22.37983333,114.3066667,6
PT4,4.519047619047619,6.323809523809524,7.823809523809524,31.79047619047619,4.0285714285714285,21.35238095238095,5.566666666666666,0.11190476190476191,3.580952380952381,7.123809523809523,7.833333333333333,32.34285714285714,3.9952380952380957,21.495238095238093,5.352380952380952,0.09571428571428572,0.14285714285714268,22.36213333,114.26465,5
SM1,1.7130434782608697,6.973913043478261,8.054782608695652,32.58086956521739,5.7617391304347825,19.742608695652176,3.7843478260869565,0.0971304347826087,1.3608695652173912,7.176521739130434,8.060869565217391,32.63913043478261,6.666956521739131,19.654782608695655,5.581739130434783,0.09669565217391306,-0.08782608695652164,22.2123,114.2314167,14
SM10,4.308695652173913,6.7043478260869565,7.9634782608695645,32.264347826086954,8.422608695652174,19.88608695652174,7.552173913043478,0.23921739130434783,3.856521739130435,7.003478260869565,7.970434782608696,32.28173913043479,9.275652173913043,19.817391304347826,9.454782608695652,0.2317391304347826,-0.06869565217391328,22.30208333,114.0319833,5
SM11,4.203508771929824,6.835964912280701,7.985087719298245,32.26754385964912,7.7026315789473685,19.885087719298248,7.540350877192982,0.221140350877193,4.565789473684211,7.164035087719299,7.980701754385964,32.310526315789474,9.58157894736842,19.705263157894738,10.502631578947367,0.22043859649122807,-0.17982456140350858,22.25738333,114.0179667,8
SM12,3.486086956521739,6.94695652173913,8.00695652173913,32.38521739130435,9.452173913043477,19.82695652173913,10.542608695652175,0.1876521739130435,3.5582608695652174,7.128695652173913,8.011304347826087,32.48956521739131,11.36695652173913,19.723478260869562,12.783478260869565,0.1748695652173913,-0.10347826086956526,22.21435,114.0144833,7
SM13,2.7643478260869565,6.973913043478261,8.018260869565218,32.493043478260866,8.684347826086958,19.93913043478261,8.254782608695653,0.1517391304347826,2.755652173913043,7.0895652173913035,8.019130434782609,32.52434782608696,9.950434782608696,19.790434782608695,11.127826086956523,0.1527826086956522,-0.14869565217391303,22.21595,113.9620667,6
SM17,2.071818181818182,7.0,7.988181818181817,32.593636363636364,8.47,19.912727272727274,6.459090909090909,0.12145454545454545,1.8800000000000001,7.181818181818182,8.008181818181818,32.69909090909091,10.728181818181817,19.79818181818182,9.695454545454545,0.11072727272727273,-0.11454545454545462,22.15351667,113.9621167,12
SM18,1.9422018348623853,6.963302752293578,8.061467889908258,32.64587155963303,6.817431192660551,19.926605504587155,5.06697247706422,0.10137614678899083,1.41651376146789,7.177981651376147,8.060550458715596,32.72293577981652,9.575229357798166,19.744954128440366,7.93302752293578,0.10486238532110091,-0.18165137614678917,22.15351667,114.0791,21
SM19,1.691743119266055,6.950458715596331,8.054128440366972,32.62568807339449,6.934862385321101,19.75412844036697,4.16605504587156,0.09917431192660552,1.3467889908256883,7.219266055045871,8.058715596330275,32.77981651376147,8.75137614678899,19.751376146788992,6.724770642201835,0.09807339449541284,-0.002752293577981544,22.15351667,114.21795,24
SM2,1.731304347826087,6.801739130434783,8.040869565217392,32.63478260869565,6.118260869565217,19.905217391304348,4.368695652173913,0.11660869565217391,1.6860869565217391,7.055652173913043,8.044347826086957,32.69652173913043,8.10695652173913,19.83739130434783,7.035652173913044,0.1133913043478261,-0.06782608695652173,22.22411667,114.1781833,14
SM20,2.4355555555555553,6.806666666666667,7.983333333333333,32.620000000000005,10.088888888888889,20.263333333333335,9.816666666666666,0.12644444444444444,2.4899999999999998,7.095555555555555,7.985555555555556,32.635555555555555,12.73,20.19222222222222,15.297777777777778,0.1262222222222222,-0.07111111111111115,22.17413333,113.8822,7
SM3,1.8495652173913042,6.786086956521739,7.9634782608695645,32.56956521739131,6.065217391304348,20.03391304347826,3.8921739130434783,0.14095652173913045,1.8504347826086958,7.153913043478261,8.030434782608696,32.64782608695652,7.573043478260869,19.92782608695652,6.364347826086957,0.1231304347826087,-0.10608695652173933,22.22545,114.1496667,33
SM4,2.548695652173913,6.732173913043479,8.017391304347827,32.487826086956524,5.675652173913043,20.01478260869565,4.000869565217392,0.15826086956521737,2.187826086956522,7.005217391304348,8.02695652173913,32.59130434782609,6.064347826086956,19.903478260869566,5.3765217391304345,0.14591304347826087,-0.11130434782608681,22.21263333,114.1385833,11
SM5,2.0078260869565216,6.812173913043478,8.059130434782608,32.62608695652174,6.615652173913043,19.977391304347826,5.926956521739131,0.11043478260869564,2.0556521739130433,7.095652173913043,8.065217391304348,32.65652173913043,8.391304347826088,19.77304347826087,8.402608695652173,0.1082608695652174,-0.2043478260869566,22.20235,114.1121333,8
SM6,2.105982905982906,6.915384615384616,8.058974358974359,32.52478632478633,6.751282051282051,19.88205128205128,5.746153846153846,0.1147008547008547,1.8145299145299145,7.161538461538461,8.064957264957265,32.67179487179487,9.523076923076923,19.7,9.041880341880344,0.10743589743589743,-0.18205128205128218,22.19166667,114.07905,14
SM7,3.232173913043478,6.878260869565217,8.044347826086957,32.43043478260869,6.656521739130435,20.07913043478261,6.168695652173913,0.17973913043478262,3.267826086956522,7.076521739130435,8.039130434782608,32.536521739130436,8.44,19.819130434782608,8.171304347826087,0.17130434782608694,-0.2600000000000001,22.229,114.07455,8
SM9,2.7738738738738737,6.585585585585585,7.969369369369369,32.26486486486487,7.151351351351351,20.306306306306308,5.230630630630631,0.2547747747747748,2.245945945945946,6.687387387387387,7.967567567567567,32.32792792792793,8.085585585585585,20.14864864864865,7.84054054054054,0.25783783783783787,-0.15765765765765746,22.27366667,114.0670667,8
ST1,4.161904761904762,5.6952380952380945,7.833333333333333,32.4,8.295238095238094,22.04285714285714,8.861904761904762,0.20714285714285713,4.109523809523809,6.461904761904761,7.828571428571429,32.44761904761905,9.22857142857143,21.95714285714286,12.09047619047619,0.21142857142857144,-0.08571428571428558,22.20861667,114.0248833,6
ST3,5.814285714285714,6.409523809523809,7.828571428571429,32.27619047619047,10.238095238095237,22.133333333333333,9.238095238095237,0.23142857142857146,5.857142857142857,7.0,7.833333333333333,32.304761904761904,9.861904761904762,21.995238095238097,17.023809523809526,0.24238095238095236,-0.1380952380952377,22.24556667,114.0321333,6
TM2,13.815151515151515,7.0,8.033939393939393,30.62787878787879,4.452121212121212,19.85878787878788,5.007878787878788,0.25927272727272727,9.303636363636363,6.913939393939394,8.038181818181817,31.26727272727273,5.152727272727273,19.91030303030303,6.710303030303031,0.21309090909090908,0.051515151515151555,22.4124,114.2180833,4
TM3,12.438378378378378,7.991891891891892,8.235135135135135,31.177837837837835,4.417837837837838,20.143783783783782,3.9724324324324325,0.17389189189189191,6.264864864864865,6.793513513513513,8.128648648648648,31.95351351351351,3.8967567567567567,19.96,4.625945945945945,0.12983783783783784,-0.18378378378378374,22.44761667,114.2030167,7
TM4,13.198901098901098,7.932967032967032,8.205494505494507,31.224175824175827,4.117582417582417,19.900549450549452,3.872527472527472,0.14543956043956044,5.827472527472527,6.638461538461539,8.103846153846154,31.96153846153846,3.8802197802197806,19.825824175824177,3.9181318681318684,0.12252747252747254,-0.07472527472527472,22.43273333,114.2196,8
TM5,4.713043478260869,7.029192546583851,8.132919254658386,31.59751552795031,4.478260869565218,20.053416149068322,4.4838509316770185,0.08782608695652175,4.946583850931677,7.050310559006211,8.11552795031056,31.78198757763975,5.761490683229813,19.93229813664596,4.950931677018634,0.08192546583850932,-0.12111801242236027,22.4571,114.2242667,4
TM6,7.894505494505494,7.61043956043956,8.213736263736264,31.568681318681318,3.5554945054945057,19.923626373626373,3.0027472527472527,0.094010989010989,3.7412087912087912,6.601098901098902,8.116483516483516,32.35219780219781,4.1450549450549445,19.694505494505496,3.508241758241758,0.08862637362637361,-0.22912087912087925,22.44385,114.2417667,12
TM7,4.906024096385542,7.384939759036145,8.192168674698795,31.771084337349397,3.616867469879518,19.91566265060241,2.6765060240963856,0.07873493975903614,3.289156626506024,6.7307228915662645,8.118072289156625,32.35,4.401204819277108,19.690361445783132,4.146385542168675,0.07722891566265061,-0.2253012048192771,22.44845,114.2676167,11
TM8,3.4461538461538463,7.307142857142858,8.183516483516485,32.07637362637362,3.360989010989011,19.74120879120879,2.689010989010989,0.06593406593406594,1.8983516483516483,7.004395604395604,8.144505494505495,32.44340659340659,5.170879120879121,19.446703296703298,4.091758241758242,0.07280219780219781,-0.2945054945054945,22.4732,114.30005,22
TT1,5.1952380952380945,5.957142857142857,7.923809523809524,31.433333333333334,3.8666666666666667,21.666666666666668,4.366666666666667,0.0838095238095238,5.4523809523809526,5.495238095238095,7.823809523809524,32.00952380952381,4.0285714285714285,21.847619047619048,4.661904761904761,0.09666666666666665,0.1809523809523808,22.4545,114.21195,6
